INSTRID,cusip
8590931880,00036110
8590004560,00128210
8590931020,00130H10
21475849041,00164V10
21475376599,00165C10
8590932179,00206R10
8590926889,00215F10
8590922690,00234P10
8590935432,00244410
8590938522,00282410
8590929830,00383030
8590926620,00388110
8590926620,00388130
8590934317,00439710
8590927151,00444P10
21590287437,00509810
8590928971,00738A10
8590933554,00751Y10
8590929527,00847410
8590924996,00912830
8590926522,01345P10
8590925559,02079K30
21562239035,02134710
8590920492,02358610
21474961170,02361E10
8590932547,02553E10
8590923240,02581610
21527225398,02665T30
8590929899,03037110
8590943709,03073E10
8590931861,03265720
8590920504,03416410
8590923145,03475V10
21475050753,03784Y20
21623992954,03842Q10
8589963433,04010E10
21584313780,04238R10
21475868041,04316A10
21475855582,04523Y10
8590935185,04548710
8590923877,04621X10
8590924396,04622410
8590938257,04911A10
8590930980,04916420
8590925114,05337M10
21548090527,05350V10
8590935430,05380710
8591340999,05580M10
21565606481,05614L20
8590925683,05969A10
8590929343,06405810
8590935603,06846310
8590932320,07368510
8590925220,07589610
8590936467,08143710
8590933679,08160H10
8590931358,08467070
8589951753,08468010
21617624125,08579X10
21636867945,09075G10
21475231814,09739D10
8590929924,09972410
8590942794,10111910
8590920630,10467410
21475041720,10567B10
8590931296,11162130
8590936547,11704310
8590941550,12514110
8590938423,12591930
8590932989,12601V10
8590927687,12611710
8590933600,12650110
8590932192,12665010
8590930370,12673P10
8590933415,12709710
21609895758,12739A10
8590931907,12803020
8590937457,12960310
8591400185,13100M50
8590942398,13119310
8590928084,13201110
8590929276,13637510
8590937619,13967410
21475855303,13979410
8590924744,14040H10
8590940878,14078110
21541799147,14174T10
8590937242,14233910
8589950834,14390510
8590921003,14754D10
8590925173,15101Q10
21586035826,15136A10
8590943648,15201P10
8590930790,15202L10
8590020342,15643210
21542987939,15650430
8590932920,16307210
8590919795,16357220
8590925261,17104610
8590920754,17243V10
8590925492,17275R10
8590933667,18589910
8590931999,20414910
8590929331,20547710
21566870495,20731J10
8590936861,20741010
8590933032,21201510
8590921858,21871N10
8590935083,21935010
8590937095,22362260
8590925599,22748310
8590937551,22966910
8590940557,23210910
8590943911,23251710
21509185512,23283R10
8590925973,23291C10
8590933248,23331A10
8590943208,23332B10
8590921752,24237020
8590930210,24736170
8590934327,24906P10
8590922376,25065D10
8590927771,25339310
8590931938,25365110
8590935204,25379810
8590936065,25470910
8590934954,25765110
8590924648,25770120
8590939623,26203710
21573654555,26443V10
8590923044,26483E10
8590928821,26821110
8590925752,27743210
8590935214,27871520
8589945956,28367785
8590942507,29101110
8590935063,29256210
8590935535,29261A10
8591012063,29270J10
8590937427,29276510
8590936305,29358P10
8590928516,29362U10
8590939422,29364G10
8590936516,29462810
8590920093,29631510
8590930236,29668910
21521464162,30040P10
21549740100,30048L10
8590919944,30161N10
8590943562,30219G10
8590941523,30231G10
8590923434,30244510
8590926452,30249U10
8590933737,30767510
8590940535,31428X10
8590923635,31431B10
21502586174,31660B10
8590923085,32051710
8590028613,32055710
8591400106,32055Y20
8590922798,33643310
8590940909,33767D10
8590931898,33793210
21563433507,33812L10
8590942586,34341210
8590943814,34354P10
8590010416,34623210
8590937664,35461310
8590933050,35610810
8590924442,35671D85
8590924605,35952H60
8590013857,36241U10
8590927511,36467W10
21566149315,36473H10
8590936155,37153210
8590932440,37637Q10
8590940395,37732010
21475833081,37951D30
8590926342,38308210
8591114436,38526M10
8590937351,38732810
8590932225,39762410
8590937678,40230710
8590931813,40502410
8590924011,40521710
8590932445,40624Q20
8590940576,41012010
8590941350,41043F20
8590921629,41086710
8590929636,41282210
8590943680,41334510
8590936996,41586410
8590941149,41651510
8590920027,41690610
8589964278,42087720
8590932775,42234710
8590924444,42281910
8590935213,42722910
8590935213,42722X10
8590937922,42774610
8590922193,42809H10
8590939393,43114K20
21529510964,43300A20
8590934844,43610610
8590938532,43903810
8590931440,44032710
8590922223,44320110
8590921086,44378720
8590934585,44414410
8590929348,44485910
8590927532,44615010
21475789382,44641310
8590935283,44888320
8590941127,45091310
8590936044,45170X20
8590938243,45252530
8590943882,45383610
8589957145,45667G10
21554118410,45685L10
8590932383,45774N10
8590940893,45811810
8590023383,45817G20
8590923175,45867G10
8590931669,46014610
8590940544,46069S10
8590942604,46120310
8590938104,46121H10
8589973300,46428763
8589985191,46428766
8590008154,47023A30
8590939665,47102X10
21530272429,47117210
21558138781,47640510
8590933943,47714310
8590923462,47816010
8590938101,48020Q10
8590943680,48116510
8590925079,48203L10
8590939562,48242W10
8589956207,48562P10
8590930662,48783610
8590939372,48917010
8589977082,48939810
8590931957,49726610
21537151877,49926D10
8590933741,50025510
8590931902,50077B20
21526348744,50187T10
8590928671,51179510
8590932633,51281610
8590924120,51476610
8590933390,51601210
8590937493,52466010
8590929332,53261M10
8590931338,53353510
8590922612,53390010
8590922922,53555510
8590927233,55081910
8590933857,55267610
8590928310,55269010
8590936483,55284810
8590943741,55303J10
8589939300,55353010
8590927812,56062Y10
8590921877,56342010
8590937969,56418H10
8590925267,56456310
21475779022,56585W40
8590942363,56624R10
8590931254,57307510
8590929823,57669010
8590929244,57778K10
8590927602,59152020
8590940173,59497240
8590940274,60671020
8590572597,60671Q10
8590938090,60819010
8590924149,60972010
8590930094,61945C10
8590021886,62007110
21528061039,62675510
8590925590,62886E10
8590935061,62886K10
8590927855,62955J10
8590941741,63618010
8590931763,63890410
8590940521,65171850
8590926662,66774610
21541107231,67011P10
8590942292,67072V10
25727414051,67077M10
8590926116,67555N20
8589965858,67786410
8590923675,67802610
8590921104,68003310
8590925662,68022310
8590936513,68066520
8590940410,68191910
8590934864,68210P10
8590922671,68218910
