INSTRID,EconDesc,BusDesc,GrpDesc,IndDesc
8590938423,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
8590942507,Industrials,Industrial Goods,"Machinery, Equipment & Components",Electrical Components & Equipment
8590925973,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel
8590941523,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas
8590940502,Technology,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services
8590933737,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing
8590940535,Industrials,Transportation,Air Freight & Courier Services,"Courier, Postal, Air Freight & Land-based Logistics"
8590940909,Financials,Banking & Investment Services,Banking Services,Consumer Lending
8590923085,Financials,Banking & Investment Services,Banking Services,Banks
8590942586,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering
8590937664,Financials,Banking & Investment Services,Banking Services,Investment Banking & Investment Services
8590931880,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
8590931020,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities
8590941550,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment
8590006632,Consumer Cyclicals,Retailers,Retailers,Computer & Electronics Retailers
8590941149,Financials,Insurance,Insurance,Multiline Insurance & Brokers
8590938522,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
8590929830,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production
8590937922,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
8590934327,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
8590929527,Basic Materials,Mineral Resources,Metals & Mining,Gold
8590936155,Consumer Cyclicals,Retailers,Retailers,Apparel & Accessories Retailers
8590932440,Financials,Banking & Investment Services,Banking Services,Banks
8590940395,Basic Materials,Applied Resources,Paper & Forest Products,Paper Products
8590932592,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
8590922223,Basic Materials,Mineral Resources,Metals & Mining,Aluminum
8590922193,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas
8590926342,Industrials,Industrial Goods,"Machinery, Equipment & Components",Electrical Components & Equipment
8590937351,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering
8590923240,Financials,Banking & Investment Services,Banking Services,Consumer Lending
8590932225,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging
8590929899,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals
8590931813,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
8590940576,Financials,Banking & Investment Services,Banking Services,Banks
8590941350,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
8590929636,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers
8590943680,Basic Materials,Mineral Resources,Metals & Mining,Mining Support Services & Equipment
